Description,TimeOfDay,Description_clean
Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,Morning,walking through the endless vermilion torii gates of fushimi inari shrine
White buildings with blue domes overlooking the calm Aegean Sea.,Afternoon,white buildings with blue domes overlooking the calm aegean sea
The ancient Incan citadel set high in the Andes Mountains.,Morning,the ancient incan citadel set high in the andes mountains
Elephants walking through the tall grass of the savanna.,Afternoon,elephants walking through the tall grass of the savanna
The bright neon lights and crowds of Times Square.,Evening,the bright neon lights and crowds of times square
Green aurora borealis dancing over a snowy landscape.,Evening,green aurora borealis dancing over a snowy landscape
"""wide landscape shot showing the ruins surrounded by the mountains for one of the newest seven wonders of the world""",Morning,wide landscape shot showing the ruins surrounded by the mountains for one of the newest seven wonders of the world
"""snowy lakeside village that brings inner peace to the visitor""",Afternoon,snowy lakeside village that brings inner peace to the visitor
"""one of the modern seven wonders of the world, Christ the Redeemer overlooking to the beaches and the city under bright sun",Afternoon,one of the modern seven wonders of the world christ the redeemer overlooking to the beaches and the city under bright sun
"""Tall Avatar-style sandstone pillars covered in mist, make you feel like in the movie""",Afternoon,tall avatarstyle sandstone pillars covered in mist make you feel like in the movie
"""lantern-lit city at night with warm colors""",Evening,lanternlit city at night with warm colors
"""Shibuya Crossing at night with neon light everywhere """,Evening,shibuya crossing at night with neon light everywhere
"""Calm countryside atmposphere where sheeps grazing peacefully in the large grassy field in the foreground while the abbey centered in the middle """,Evening,calm countryside atmposphere where sheeps grazing peacefully in the large grassy field in the foreground while the abbey centered in the middle
"""a dramatic mountain landscape with a narrow trail running along the ridgeline during a sunrise""",Morning,a dramatic mountain landscape with a narrow trail running along the ridgeline during a sunrise
""" valley with Staubbach waterfall, green fields, Swiss houses and mountains",Afternoon,valley with staubbach waterfall green fields swiss houses and mountains
""" valley with Staubbach waterfall, green fields, Swiss houses and mountains",Afternoon,valley with staubbach waterfall green fields swiss houses and mountains
