ImageURL,Description,Country,Weather,TimeOfDay,Season,Activity,Mood
images\img_000000_4729be01ad57.jpg,Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,Japan,Sunny,Morning,Winter,Hiking,Nostalgia
images\img_000001_cb36d278a83c.jpg,White buildings with blue domes overlooking the calm Aegean Sea.,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness
images\img_000002_1c7ad89a84c4.jpg,The ancient Incan citadel set high in the Andes Mountains.,Peru,Cloudy,Morning,Not Clear,Sightseeing,Adventure
images\img_000003_c4664aba08db.jpg,Elephants walking through the tall grass of the savanna.,Tanzania,Sunny,Afternoon,Fall,Sightseeing,Curiosity
images\img_000004_0564cfdb915c.jpg,The bright neon lights and crowds of Times Square.,USA,Not Clear,Evening,Winter,Sightseeing,Excitement
images\img_000005_9758b33bd892.jpg,Green aurora borealis dancing over a snowy landscape.,Iceland,Snowy,Evening,Winter,Relaxing,Melancholy
images\img_000006_339da838335d.jpg,"""wide landscape shot showing the ruins surrounded by the mountains for one of the newest seven wonders of the world""",Peru,Sunny,Morning,Spring,historical sightseeing,Curiosity
images\img_000007_3085f70f292c.jpg,"""snowy lakeside village that brings inner peace to the visitor""",Austria,Cloudy,Afternoon,Winter,relaxing,Melancholy
images\img_000008_547e1d199c11.jpg,"""one of the modern seven wonders of the world, Christ the Redeemer overlooking to the beaches and the city under bright sun",Brazil,Sunny,Afternoon,Summer,scenic viewpoint sightseeing,Happiness
images\img_000009_e2b290949540.jpg,"""Tall Avatar-style sandstone pillars covered in mist, make you feel like in the movie""",China,Cloudy,Afternoon,Spring,Nature sightseeing,Excitement
images\img_000010_baca72f9441a.jpg,"""lantern-lit city at night with warm colors""",Vietnam,Not Clear,Evening,Spring,boat tour,Romance
images\img_000011_4812280a2b1b.jpg,"""Shibuya Crossing at night with neon light everywhere """,Japan,Not Clear,Evening,Fall,city nightlife exploring,Excitement
images\img_000012_c8451a2d9f79.jpg,"""Calm countryside atmposphere where sheeps grazing peacefully in the large grassy field in the foreground while the abbey centered in the middle """,France,Cloudy,Evening,Fall,Countryside sightseeing,Adventure
images\img_000013_3942744eb962.jpg,"""a dramatic mountain landscape with a narrow trail running along the ridgeline during a sunrise""",Portugal,Sunny,Morning,Spring,hiking,Excitement
images\img_000014_11493766b197.jpg,""" valley with Staubbach waterfall, green fields, Swiss houses and mountains",Switzerland,Sunny,Afternoon,Summer,village exploring,Romance
images\img_000015_e2fd956993f0.jpg,"A clear aerial view of a Maldives island featuring a white sandy beach, turquoise water, palm trees, and a seaplane parked on the shore. This image represents the peaceful tropical beauty of the Maldives.",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
images\img_000016_8249f95c44b5.jpg,"A stunning sunset view of the Maiden’s Tower in Istanbul, illuminated warmly as the city skyline glows behind it. The vibrant sky blends orange and blue, creating a magical atmosphere over the Bosphorus.",Turkey,Not Clear,Evening,Fall,Sightseeing,Romance
images\img_000017_f54a299020da.jpg,"Trekkers hiking through the rocky trails of the Everest region in the Himalayas, surrounded by dramatic mountain landscapes and clear blue skies. The snowy peaks create a breathtaking, adventurous atmosphere.",Nepal,Sunny,Morning,Fall,Hiking,Adventure
images\img_000018_00344ce0de56.jpg,"A stunning alpine landscape in Switzerland with bright green hills, a peaceful lake, wooden cabins, and towering snow-covered peaks under a clear blue sky. A postcard-perfect mountain view.",Switzerland,Sunny,Afternoon,Summer,Sightseeing,Happiness
images\img_000019_9087811cdf18.jpg,"A vibrant night scene in Kabukichō, Tokyo, filled with colorful neon lights, busy crosswalks, and lively crowds. The illuminated buildings highlight the energetic nightlife of Japan's capital.",Japan,Not Clear,Evening,Not Clear,Sightseeing,Excitement
images\img_000020_5f337e42fbf5.jpg,"A peaceful desert highway in Texas leading toward rugged, sunlit mountains. The warm evening light casts dramatic shadows across the rocky landscape, capturing the quiet beauty of the American Southwest.",USA,Sunny,Evening,Fall,No activity,Nostalgia
images\img_000021_c96f267d7d8a.jpg,A breathtaking sunset scene at the Pyramids of Giza featuring camel riders crossing the desert as the warm sun casts dramatic shadows. The silhouettes of the ancient pyramids create a timeless and adventurous atmosphere.,Egypt,Sunny,Evening,Not Clear,Sightseeing,Adventure
images\img_000022_5364fe600431.jpg,"A picturesque Parisian street leading to the Eiffel Tower at sunset, with warm light reflecting off historic buildings and cobblestone streets. The soft sky colors highlight the romantic charm of Paris.",France,Sunny,Evening,Fall,Sightseeing,Romance
images\img_000023_9a72cc047a7e.jpg,"A golden sunset at Ipanema Beach in Rio de Janeiro, with surfboards in the sand and people enjoying the lively beachfront. The iconic Dois Irmãos mountains create a perfect blend of nature, surf culture, and Brazilian energy.",Brazil,Sunny,Evening,Summer,Relaxing,Happiness
images\img_000024_8fb5d4cc586f.jpg,A majestic view of the Great Wall of China winding across lush green mountains under a dramatic cloudy sky. The ancient stone towers and pathways highlight the vast scale and historical significance of this landmark.,China,Cloudy,Afternoon,Summer,Sightseeing,Curiosity
images\img_000025_990641a72020.jpg,Eiffel Tower in Paris during sunset with colorful sky,France,Sunny,Evening,Summer,Sightseeing,Romance
images\img_000026_fd6672f24dc2.jpg,White houses and blue domes in Santorini on a bright day,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness
images\img_000027_cb153f30b4d2.jpg,Shibuya crossing in Tokyo full of people and bright neon lights,Japan,Not Clear,Evening,Not Clear,Shopping,Excitement
images\img_000028_4b9a8b97053f.jpg,Turquoise water and overwater bungalows in the Maldives,Maldives,Sunny,Afternoon,Summer,Relaxing,Romance
images\img_000029_c3eef93b8ee8.jpg,The ancient rock-carved facade of Petra between high cliffs,Jordan,Sunny,Afternoon,Summer,Hiking,Curiosity
images\img_000030_5fe137850471.jpg,Times Square in New York with colorful billboards and crowds,USA,Not Clear,Evening,Not Clear,Sightseeing,Excitement
images\img_000031_f2543338b43d.jpg,Snow-covered peaks of the Swiss Alps with a valley below,Switzerland,Snowy,Afternoon,Winter,Hiking,Adventure
images\img_000032_7647390d7939.jpg,Green rice terraces in Bali surrounded by tropical trees,Indonesia,Sunny,Morning,Spring,Hiking,Happiness
images\img_000033_65ed6acbc1ad.jpg,The Great Pyramids of Giza under a clear blue sky,Egypt,Sunny,Afternoon,Summer,Sightseeing,Nostalgia
images\img_000034_9ae00c20d5c6.jpg,Hot air balloons flying over the rocky valleys of Cappadocia,Turkey,Sunny,Morning,Summer,Hot-air balloon ride,Adventure
images\img_000035_92e2d6d76785.jpg,"A distant view of the Eiffel Tower with surrounding buildings. I chose this place because of its historic charm, iconic architecture, and relaxing atmosphere.",France,Sunny,Evening,Summer,Sightseeing,Happiness
images\img_000036_3a26498eefa0.jpg,A traditional Japanese house surrounded by colorful autumn trees. I chose this place because of its peaceful atmosphere and the beauty of Japanese architecture during the fall season.,Japan,Sunny,Afternoon,Fall,Sightseeing,Curiosity
images\img_000037_10b233599ef1.jpg,"Fishing boats docked in a scenic harbor in Cape Town. I chose this place because its clear waters, vibrant harbor atmosphere, and sense of adventure make it an exciting travel destination.",South Africa,Sunny,Afternoon,Summer,Hiking,Adventure
